File Name, LOG_XL500
Device Address, CA:24:1D:57:A1:AD
Sensor ID, CB-74-0B-26-8B
Modify Time, 2022-06-16 12:58:17
Is Saturate, not
Integration Time(ms), 11.706
Wavelength, 340, 345, 350, 355, 360, 365, 370, 375, 380, 385, 390, 395, 400, 405, 410, 415, 420, 425, 430, 435, 440, 445, 450, 455, 460, 465, 470, 475, 480, 485, 490, 495, 500, 505, 510, 515, 520, 525, 530, 535, 540, 545, 550, 555, 560, 565, 570, 575, 580, 585, 590, 595, 600, 605, 610, 615, 620, 625, 630, 635, 640, 645, 650, 655, 660, 665, 670, 675, 680, 685, 690, 695, 700, 705, 710, 715, 720, 725, 730, 735, 740, 745, 750, 755, 760, 765, 770, 775, 780, 785, 790, 795, 800, 805, 810, 815, 820, 825, 830, 835, 840, 845, 850, 855, 860, 865, 870, 875, 880, 885, 890, 895, 900, 905, 910, 915, 920, 925, 930, 935, 940, 945, 950, 955, 960, 965, 970, 975, 980, 985, 990, 995, 1000, 1005, 1010
Spectrum, 0.000602047482971102, 0.0006858469569124281, 0.0006458450807258487, 0.00044041030923835933, 0.0004851594567298889, 0.00033678425825200975, 0.00009832077194005251, 0.0, 0.0, 0.0, 0.000028816273697884753, 0.00023523384879808873, 0.00044123423867858946, 0.0006243535899557173, 0.0008539976552128792, 0.0010476866737008095, 0.0013054164592176676, 0.0017213707324117422, 0.0024146579671651125, 0.00344939436763525, 0.0047554331831634045, 0.0061832573264837265, 0.007430032826960087, 0.008232556283473969, 0.008556440472602844, 0.008497408591210842, 0.008225205354392529, 0.007963740266859531, 0.007857532240450382, 0.007913433015346527, 0.008113364689052105, 0.008387069217860699, 0.008672201074659824, 0.008977768011391163, 0.009330784901976585, 0.009730953723192215, 0.01015267800539732, 0.010585553012788296, 0.011007288470864296, 0.011431096121668816, 0.011865438893437386, 0.012301667593419552, 0.012719129212200642, 0.013074644841253757, 0.013327403925359249, 0.013486421667039394, 0.013556292280554771, 0.013559401035308838, 0.013584073632955551, 0.013684752397239208, 0.013946405611932278, 0.014369427226483822, 0.014891505241394043, 0.015481635928153992, 0.016119280830025673, 0.016847334802150726, 0.01764190010726452, 0.018433179706335068, 0.01907023787498474, 0.019428478553891182, 0.01945091411471367, 0.019215265288949013, 0.01885949820280075, 0.01849481090903282, 0.018150098621845245, 0.017724037170410156, 0.01702788658440113, 0.01595032960176468, 0.01455638650804758, 0.013043195940554142, 0.011703827418386936, 0.010695511475205421, 0.00995664019137621, 0.009265223518013954, 0.008430291898548603, 0.007395307533442974, 0.00630210293456912, 0.0052733286283910275, 0.004410018213093281, 0.0037615764886140823, 0.00329749658703804, 0.002918955869972706, 0.0026042491663247347, 0.002320684725418687, 0.002067219465970993, 0.0018684961833059788, 0.0017075587529689074, 0.0015497652348130941, 0.0013632683549076319, 0.001101784291677177, 0.0008138063712976873, 0.0005411457968875766, 0.0003112261474598199, 0.0001792842522263527, 0.00015232987061608583, 0.00018190157425124198, 0.00022000180615577847, 0.0003163663495797664, 0.0003941082686651498, 0.0004357016005087644, 0.0004581830289680511, 0.00045077819959260523, 0.0003847428015433252, 0.00035134164500050247, 0.0003099958412349224, 0.00026611631619744003, 0.00024310492153745145, 0.00023065543791744858, 0.00022556188923772424, 0.000208710553124547, 0.0002141198783647269, 0.00022093518055044115, 0.0001920402137329802, 0.00016045801748987287, 0.0001289071951759979, 0.00007022032514214516, 0.000010994906006089877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
PPFD Spectrum, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0014754872536286712, 0.0021139364689588547, 0.002927162451669574, 0.003634844208136201, 0.0045835780911147594, 0.0061160302720963955, 0.008680212311446667, 0.012544067576527596, 0.01749238558113575, 0.023002954199910164, 0.027951782569289207, 0.031314998865127563, 0.032904647290706635, 0.03303282707929611, 0.03231847658753395, 0.03162401169538498, 0.031530704349279404, 0.032085806131362915, 0.0332355871796608, 0.03470737114548683, 0.0362498015165329, 0.0379023402929306, 0.03978273272514343, 0.04189564660191536, 0.044135723263025284, 0.04645999148488045, 0.04877109453082085, 0.05112672224640846, 0.053565338253974915, 0.056048858910799026, 0.05848255753517151, 0.06066373735666275, 0.06239357590675354, 0.06370176374912262, 0.0645984411239624, 0.06518004089593887, 0.06586645543575287, 0.06692665070295334, 0.06878925114870071, 0.07147640734910965, 0.07469578832387924, 0.0783030167222023, 0.08220188319683075, 0.08661888539791107, 0.09144149720668793, 0.09631336480379105, 0.10043913125991821, 0.1031380221247673, 0.10407017171382904, 0.10361255705356598, 0.10248251259326935, 0.10127388685941696, 0.10014498233795166, 0.09853500872850418, 0.09537659585475922, 0.0900077074766159, 0.08275014907121658, 0.07469316571950912, 0.06751235574483871, 0.06214306131005287, 0.05826625972986221, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Photopic Lux, 926
Cyanopic Lux, 428
Melanopic Lux, 623
Rhodopic Lux, 679
Chloropic Lux, 833
Erythropic Lux, 947
PPFD, 17
PPFD-R, 9
PPFD-G, 6
PPFD-B, 2
CCT, 3310
CRI, 97
XYZ, 980, 926, 453
xy, 0.4155, 0.3926
uv, 0.2416, 0.5135

